ID,class,wordnet,Chinese
663,monastery,n03781244,修道院
664,monitor,n03782006,显示器
665,moped,n03785016,电瓶车
666,mortar,n03786901,砂浆
667,mortarboard,n03787032,学士
668,mosque,n03788195,清真寺
669,mosquito_net,n03788365,蚊帐
670,motor_scooter,n03791053,摩托车
671,mountain_bike,n03792782,山地自行车
672,mountain_tent,n03792972,登山帐
673,mouse,n03793489,"鼠标,电脑鼠标"
674,mousetrap,n03794056,捕鼠器
675,moving_van,n03796401,搬家车
676,muzzle,n03803284,口套
677,nail,n03804744,钉子
678,neck_brace,n03814639,颈托
679,necklace,n03814906,项链
680,nipple,n03825788,乳头（瓶）
681,notebook,n03832673,"笔记本,笔记本电脑"
682,obelisk,n03837869,方尖碑
683,oboe,n03838899,双簧管
684,ocarina,n03840681,"陶笛,卵形笛"
685,odometer,n03841143,里程表
686,oil_filter,n03843555,滤油器
687,organ,n03854065,"风琴,管风琴"
688,oscilloscope,n03857828,示波器
689,overskirt,n03866082,罩裙
690,oxcart,n03868242,牛车
691,oxygen_mask,n03868863,氧气面罩
692,packet,n03871628,包装
693,paddle,n03873416,船桨
694,paddlewheel,n03874293,"明轮,桨轮"
695,padlock,n03874599,"挂锁,扣锁"
696,paintbrush,n03876231,画笔
697,pajama,n03877472,睡衣
698,palace,n03877845,宫殿
699,panpipe,n03884397,"排箫,鸣管"
700,paper_towel,n03887697,纸巾
701,parachute,n03888257,降落伞
702,parallel_bars,n03888605,双杠
703,park_bench,n03891251,公园长椅
704,parking_meter,n03891332,"停车收费表,停车计时器"
705,passenger_car,n03895866,"客车,教练车"
706,patio,n03899768,"露台,阳台"
707,pay-phone,n03902125,付费电话
708,pedestal,n03903868,"基座,基脚"
709,pencil_box,n03908618,铅笔盒
710,pencil_sharpener,n03908714,卷笔刀
711,perfume,n03916031,香水（瓶）
712,Petri_dish,n03920288,培养皿
713,photocopier,n03924679,复印机
714,pick,n03929660,"拨弦片,拨子"
715,pickelhaube,n03929855,尖顶头盔
716,picket_fence,n03930313,"栅栏,栅栏"
717,pickup,n03930630,"皮卡,皮卡车"
718,pier,n03933933,桥墩
719,piggy_bank,n03935335,存钱罐
720,pill_bottle,n03937543,药瓶
721,pillow,n03938244,枕头
722,ping-pong_ball,n03942813,乒乓球
723,pinwheel,n03944341,风车
724,pirate,n03947888,海盗船
725,pitcher,n03950228,水罐
726,plane,n03954731,木工刨
727,planetarium,n03956157,天文馆
728,plastic_bag,n03958227,塑料袋
729,plate_rack,n03961711,板架
730,plow,n03967562,犁型铲雪机
731,plunger,n03970156,手压皮碗泵
732,Polaroid_camera,n03976467,宝丽来相机
733,pole,n03976657,电线杆
734,police_van,n03977966,"警车,巡逻车"
735,poncho,n03980874,雨披
736,pool_table,n03982430,台球桌
737,pop_bottle,n03983396,充气饮料瓶
738,pot,n03991062,花盆
739,potter's_wheel,n03992509,陶工旋盘
740,power_drill,n03995372,电钻
741,prayer_rug,n03998194,"祈祷垫,地毯"
742,printer,n04004767,打印机
743,prison,n04005630,监狱
744,projectile,n04008634,"炮弹,导弹"
745,projector,n04009552,投影仪
746,puck,n04019541,冰球
747,punching_bag,n04023962,"沙包,吊球"
748,purse,n04026417,钱包
749,quill,n04033901,羽管笔
750,quilt,n04033995,被子
751,racer,n04037443,赛车
752,racket,n04039381,球拍
753,radiator,n04040759,散热器
754,radio,n04041544,收音机
755,radio_telescope,n04044716,"射电望远镜,无线电反射器"
756,rain_barrel,n04049303,雨桶
757,recreational_vehicle,n04065272,"休闲车,房车"
758,reel,n04067472,"卷轴,卷筒"
759,reflex_camera,n04069434,反射式照相机
760,refrigerator,n04070727,"冰箱,冰柜"
761,remote_control,n04074963,遥控器
762,restaurant,n04081281,"餐厅,饮食店,食堂"
763,revolver,n04086273,左轮手枪
764,rifle,n04090263,步枪
765,rocking_chair,n04099969,摇椅
766,rotisserie,n04111531,电转烤肉架
767,rubber_eraser,n04116512,橡皮
768,rugby_ball,n04118538,橄榄球
769,rule,n04118776,直尺
770,running_shoe,n04120489,跑步鞋
771,safe,n04125021,保险柜
772,safety_pin,n04127249,安全别针
773,saltshaker,n04131690,盐瓶（调味用）
774,sandal,n04133789,凉鞋
775,sarong,n04136333,"纱笼,围裙"
776,sax,n04141076,萨克斯管
777,scabbard,n04141327,剑鞘
778,scale,n04141975,"秤,称重机"
779,school_bus,n04146614,校车
780,schooner,n04147183,帆船
781,scoreboard,n04149813,记分牌
782,screen,n04152593,屏幕
783,screw,n04153751,螺丝
784,screwdriver,n04154565,螺丝刀
785,seat_belt,n04162706,安全带
786,sewing_machine,n04179913,缝纫机
787,shield,n04192698,"盾牌,盾牌"
788,shoe_shop,n04200800,"皮鞋店,鞋店"
789,shoji,n04201297,障子
790,shopping_basket,n04204238,购物篮
791,shopping_cart,n04204347,购物车
792,shovel,n04208210,铁锹
793,shower_cap,n04209133,浴帽
794,shower_curtain,n04209239,浴帘
795,ski,n04228054,滑雪板
796,ski_mask,n04229816,滑雪面罩
797,sleeping_bag,n04235860,睡袋
798,slide_rule,n04238763,滑尺
799,sliding_door,n04239074,滑动门
800,slot,n04243546,角子老虎机
801,snorkel,n04251144,潜水通气管
802,snowmobile,n04252077,雪橇
803,snowplow,n04252225,"扫雪机,扫雪机"
804,soap_dispenser,n04254120,皂液器
805,soccer_ball,n04254680,足球
806,sock,n04254777,袜子
807,solar_dish,n04258138,"碟式太阳能,太阳能集热器,太阳能炉"
808,sombrero,n04259630,宽边帽
809,soup_bowl,n04263257,汤碗
810,space_bar,n04264628,空格键
811,space_heater,n04265275,空间加热器
812,space_shuttle,n04266014,航天飞机
813,spatula,n04270147,铲（搅拌或涂敷用的）
814,speedboat,n04273569,快艇
815,spider_web,n04275548,蜘蛛网
816,spindle,n04277352,"纺锤,纱锭"
817,sports_car,n04285008,跑车
818,spotlight,n04286575,聚光灯
819,stage,n04296562,舞台
820,steam_locomotive,n04310018,蒸汽机车
821,steel_arch_bridge,n04311004,钢拱桥
822,steel_drum,n04311174,钢滚筒
823,stethoscope,n04317175,听诊器
824,stole,n04325704,女用披肩
825,stone_wall,n04326547,石头墙
826,stopwatch,n04328186,秒表
827,stove,n04330267,火炉
828,strainer,n04332243,过滤器
829,streetcar,n04335435,"有轨电车,电车"
830,stretcher,n04336792,担架
831,studio_couch,n04344873,沙发床
832,stupa,n04346328,佛塔
833,submarine,n04347754,"潜艇,潜水艇"
834,suit,n04350905,"套装,衣服"
835,sundial,n04355338,日晷
836,sunglass,n04355933,太阳镜
837,sunglasses,n04356056,"太阳镜,墨镜"
838,sunscreen,n04357314,"防晒霜,防晒剂"
839,suspension_bridge,n04366367,悬索桥
840,swab,n04367480,拖把
841,sweatshirt,n04370456,运动衫
842,swimming_trunks,n04371430,游泳裤
843,swing,n04371774,秋千
844,switch,n04372370,"开关,电器开关"
845,syringe,n04376876,注射器
846,table_lamp,n04380533,台灯
847,tank,n04389033,"坦克,装甲战车,装甲战斗车辆"
848,tape_player,n04392985,磁带播放器
849,teapot,n04398044,茶壶
850,teddy,n04399382,"泰迪,泰迪熊"
851,television,n04404412,电视
852,tennis_ball,n04409515,网球
853,thatch,n04417672,"茅草,茅草屋顶"
854,theater_curtain,n04418357,"幕布,剧院的帷幕"
855,thimble,n04423845,顶针
856,thresher,n04428191,脱粒机
857,throne,n04429376,宝座
858,tile_roof,n04435653,瓦屋顶
859,toaster,n04442312,烤面包机
860,tobacco_shop,n04443257,"烟草店,烟草"
861,toilet_seat,n04447861,马桶
862,torch,n04456115,火炬
863,totem_pole,n04458633,图腾柱
864,tow_truck,n04461696,"拖车,牵引车,清障车"
865,toyshop,n04462240,玩具店
866,tractor,n04465501,拖拉机
867,trailer_truck,n04467665,"拖车,铰接式卡车"
868,tray,n04476259,托盘
869,trench_coat,n04479046,风衣
870,tricycle,n04482393,三轮车
871,trimaran,n04483307,三体船
872,tripod,n04485082,三脚架
873,triumphal_arch,n04486054,凯旋门
874,trolleybus,n04487081,无轨电车
875,trombone,n04487394,长号
876,tub,n04493381,"浴盆,浴缸"
877,turnstile,n04501370,旋转式栅门
878,typewriter_keyboard,n04505470,打字机键盘
879,umbrella,n04507155,伞
880,unicycle,n04509417,独轮车
881,upright,n04515003,直立式钢琴
882,vacuum,n04517823,真空吸尘器
883,vase,n04522168,花瓶
884,vault,n04523525,拱顶
885,velvet,n04525038,天鹅绒
886,vending_machine,n04525305,自动售货机
887,vestment,n04532106,祭服
888,viaduct,n04532670,高架桥
889,violin,n04536866,"小提琴,小提琴"
890,volleyball,n04540053,排球
891,waffle_iron,n04542943,松饼机
892,wall_clock,n04548280,挂钟
893,wallet,n04548362,"钱包,皮夹"
894,wardrobe,n04550184,"衣柜,壁橱"
895,warplane,n04552348,军用飞机
896,washbasin,n04553703,"洗脸盆,洗手盆"
897,washer,n04554684,"洗衣机,自动洗衣机"
898,water_bottle,n04557648,水瓶
899,water_jug,n04560804,水壶
900,water_tower,n04562935,水塔
901,whiskey_jug,n04579145,威士忌壶
902,whistle,n04579432,哨子
903,wig,n04584207,假发
904,window_screen,n04589890,纱窗
905,window_shade,n04590129,百叶窗
906,Windsor_tie,n04591157,温莎领带
907,wine_bottle,n04591713,葡萄酒瓶
908,wing,n04592741,"飞机翅膀,飞机"
909,wok,n04596742,炒菜锅
910,wooden_spoon,n04597913,木制的勺子
911,wool,n04599235,"毛织品,羊绒"
912,worm_fence,n04604644,"栅栏,围栏"
913,wreck,n04606251,沉船
914,yawl,n04612504,双桅船
915,yurt,n04613696,蒙古包
916,web_site,n06359193,"网站,互联网网站"
917,comic_book,n06596364,漫画
918,crossword_puzzle,n06785654,纵横字谜
919,street_sign,n06794110,路标
920,traffic_light,n06874185,交通信号灯
921,book_jacket,n07248320,"防尘罩,书皮"
922,menu,n07565083,菜单
923,plate,n07579787,盘子
924,guacamole,n07583066,鳄梨酱
925,consomme,n07584110,清汤
926,hot_pot,n07590611,罐焖土豆烧肉
927,trifle,n07613480,蛋糕
928,ice_cream,n07614500,冰淇淋
929,ice_lolly,n07615774,"雪糕,冰棍,冰棒"
930,French_loaf,n07684084,法式面包
931,bagel,n07693725,百吉饼
932,pretzel,n07695742,椒盐脆饼
933,cheeseburger,n07697313,芝士汉堡
934,hotdog,n07697537,热狗
935,mashed_potato,n07711569,土豆泥
936,head_cabbage,n07714571,结球甘蓝
937,broccoli,n07714990,西兰花
938,cauliflower,n07715103,菜花
939,zucchini,n07716358,绿皮密生西葫芦
940,spaghetti_squash,n07716906,西葫芦
941,acorn_squash,n07717410,小青南瓜
942,butternut_squash,n07717556,南瓜
943,cucumber,n07718472,黄瓜
944,artichoke,n07718747,朝鲜蓟
945,bell_pepper,n07720875,甜椒
946,cardoon,n07730033,刺棘蓟
947,mushroom,n07734744,蘑菇
948,Granny_Smith,n07742313,绿苹果
949,strawberry,n07745940,草莓
950,orange,n07747607,橘子
951,lemon,n07749582,柠檬
952,fig,n07753113,无花果
953,pineapple,n07753275,菠萝
954,banana,n07753592,香蕉
955,jackfruit,n07754684,菠萝蜜
956,custard_apple,n07760859,蛋奶冻苹果
957,pomegranate,n07768694,石榴
958,hay,n07802026,干草
959,carbonara,n07831146,烤面条加干酪沙司
960,chocolate_sauce,n07836838,"巧克力酱,巧克力糖浆"
961,dough,n07860988,面团
962,meat_loaf,n07871810,"瑞士肉包,肉饼"
963,pizza,n07873807,"披萨,披萨饼"
964,potpie,n07875152,馅饼
965,burrito,n07880968,卷饼
966,red_wine,n07892512,红葡萄酒
967,espresso,n07920052,意大利浓咖啡
968,cup,n07930864,杯子
969,eggnog,n07932039,蛋酒
970,alp,n09193705,高山
971,bubble,n09229709,泡泡
972,cliff,n09246464,悬崖
973,coral_reef,n09256479,珊瑚礁
974,geyser,n09288635,间歇泉
975,lakeside,n09332890,"湖边,湖岸"
976,promontory,n09399592,海角
977,sandbar,n09421951,"沙洲,沙坝"
978,seashore,n09428293,"海滨,海岸"
979,valley,n09468604,峡谷
980,volcano,n09472597,火山
981,ballplayer,n09835506,"棒球,棒球运动员"
982,groom,n10148035,新郎
983,scuba_diver,n10565667,潜水员
984,rapeseed,n11879895,油菜
985,daisy,n11939491,雏菊
986,yellow_lady's_slipper,n12057211,杓兰
987,corn,n12144580,玉米
988,acorn,n12267677,橡子
989,hip,n12620546,玫瑰果
990,buckeye,n12768682,七叶树果实
991,coral_fungus,n12985857,珊瑚菌
992,agaric,n12998815,木耳
993,gyromitra,n13037406,鹿花菌
994,stinkhorn,n13040303,鬼笔菌
995,earthstar,n13044778,地星（菌类）
996,hen-of-the-woods,n13052670,多叶奇果菌
997,bolete,n13054560,牛肝菌
998,ear,n13133613,玉米穗
999,toilet_tissue,n15075141,卫生纸 
